이름,몸무게,키
마마,66,146
카파,108,173
마다,66,177
타다,65,147
바사,116,142
아아,96,147
라나,86,178
사차,62,153
차카,45,172
파파,91,145
나파,108,193
가아,101,151
차마,99,163
라하,110,165
사타,63,155
다마,86,148
라카,79,146
바다,79,188
나아,106,171
다차,94,146
바자,77,166
사나,65,173
가마,106,172
자자,109,143
자아,92,194
마사,54,154
다바,105,168
하하,99,143
타아,112,191
바파,96,158
아아,86,164
자아,41,167
하가,118,166
라차,79,197
자사,64,178
파차,76,185
타다,91,151
바타,54,144
다파,119,175
타라,114,185
자카,71,174
파사,53,169
하차,99,160
카바,103,146
마다,48,178
차사,56,195
라가,86,179
다마,118,167
가마,52,182
라사,99,149
타사,109,194
카차,117,147
타파,79,155
바아,48,192
가아,73,186
라하,83,141
가라,53,158
타다,94,197
차사,73,147
마다,91,160
사카,104,158
사하,54,158
카다,48,163
자다,117,162
가차,47,194
차가,42,191
하파,66,158
가타,106,192
파다,88,154
마라,61,191
가하,52,178
바아,83,160
다자,76,193
가마,69,190
하라,105,168
파자,47,166
자나,104,196
아라,73,156
나라,44,156
다라,117,142
바라,51,154
마라,108,178
다자,61,145
카나,91,175
하바,49,168
다바,63,143
라사,66,187
카다,119,192
마다,95,196
아다,88,187
타마,116,152
카타,119,198
사나,64,145
카바,58,157
타카,99,170
파파,87,184
사타,42,141
다나,73,169
타타,50,165
나나,101,141
타카,48,179
가차,90,165
라가,69,155
마나,77,145
차가,84,191
파라,51,191
파라,78,174
하하,74,183
차파,42,190
카하,75,154
하파,90,187
타나,105,192
아아,101,182
하카,105,151
다자,100,187
가라,57,171
자하,117,174
차마,101,161
사차,96,156
나하,118,141
라자,69,184
나라,96,185
가라,100,196
라하,84,191
나라,105,174
하다,47,173
하차,101,151
카마,101,145
자카,57,153
타타,76,145
타마,97,140
마사,51,151
마하,51,179
가타,78,171
차사,56,157
마카,112,142
바마,109,157
라자,88,198
라카,117,187
타타,107,171
타차,69,146
하하,102,199
가다,113,192
마파,92,168
다차,85,181
다차,61,194
하마,50,192
바하,41,176
아파,76,145
나차,76,156
아아,116,162
자나,101,177
다사,94,152
바나,78,197
자하,59,167
차다,91,147
파차,68,171
차다,55,161
파타,42,170
자타,77,183
마카,109,142
아마,64,196
마라,41,185
아가,86,186
자차,100,177
바카,64,169
마하,45,143
파차,113,171
다하,69,189
하타,70,172
카카,117,175
타타,89,171
파나,71,196
자마,53,149
차바,64,159
아나,110,185
가자,108,143
자바,119,189
사바,41,140
가사,49,153
아사,88,141
라마,60,154
가가,60,160
하카,118,180
하라,59,185
다마,62,173
타마,44,185
나사,101,160
나차,108,155
차자,119,189
파사,62,185
다차,44,156
카아,88,160
차마,102,147
타다,84,163
하나,59,190
차바,115,196
카라,117,193
차라,41,196
아자,77,163
마자,104,141
바다,91,140
자마,45,187
파나,98,170
차하,69,197
하아,41,180
카아,55,169
카아,71,152
바라,75,180
다타,88,149
사사,72,164
라마,55,148
바하,108,195
사하,75,168
차바,47,162
차아,100,169
타차,100,179
카라,88,162
타바,104,165
가나,48,197
사자,118,161
타라,59,191
라타,112,183
하바,81,152
카타,48,189
하가,52,144
카자,41,176
바아,58,195
라마,95,158
카다,57,142
나사,61,178
가가,46,184
가다,94,151
바나,82,169
차바,55,152
가바,41,185
나마,45,156
타나,50,166
다나,90,159
카다,115,168
다하,111,182
다가,91,195
아마,101,144
바아,98,185
파카,108,144
나마,112,168
라가,52,170
아파,69,194
아파,68,152
나타,65,184
타라,70,169
가바,79,159
나사,77,168
나가,53,157
파마,75,180
파마,67,187
타타,117,193
다사,104,164
바아,99,168
라카,64,179
아바,77,174
나가,71,181
다마,65,195
자차,56,169
가타,68,176
다차,47,155
라타,108,161
나자,63,146
파하,79,172
가나,51,170
하하,95,140
가카,107,198
타파,53,198
차차,100,178
아다,118,199
다바,49,157
카가,91,156
나가,59,180
다카,40,158
자하,74,144
라파,103,199
다마,90,153
차바,101,197
자아,50,197
아자,80,189
바아,108,168
사카,51,196
타차,118,178
타다,40,160
타가,112,198
다파,40,196
라파,108,154
라다,77,186
가아,52,168
마자,77,175
자나,78,143
카라,96,169
차아,69,161
라다,56,177
사사,64,151
자파,40,188
타파,100,142
파나,48,140
바카,103,169
자나,70,186
하마,61,188
마아,76,193
마파,105,166
아다,117,175
파차,43,170
가라,47,197
나아,41,146
아파,49,181
카다,97,155
라차,60,197
차자,115,187
타마,102,173
바하,63,149
나바,87,196
다타,99,188
하하,68,140
사타,93,167
카자,106,186
아파,46,154
타나,46,190
가자,93,188
하사,85,169
바아,70,193
가아,44,178
라바,106,157
라파,49,174
사아,108,171
파카,107,145
다파,119,188
다파,58,176
바카,86,178
라다,78,165
사다,40,162
나아,88,187
사자,62,148
사다,73,166
나타,64,159
나카,45,166
다마,107,161
하아,91,186
나파,62,141
카타,102,175
라다,55,152
하사,101,173
바타,117,186
자차,61,172
하아,78,149
바차,99,187
카라,110,156
라사,64,162
카바,110,183
라아,81,141
타카,60,167
가차,89,194
카카,59,157
라바,102,151
라카,76,161
사가,107,165
나바,40,199
차바,114,191
라자,76,172
사바,85,158
마사,116,174
다바,107,180
카마,79,152
라가,40,147
카아,102,144
마사,78,181
다다,111,159
카라,44,174
사하,108,150
자하,56,183
사마,71,192
파가,88,153
